ogc_fid,id,gridcode,wkb_geometry,climatecode
27,27,44,0103000020E6100000010000000500000000000000000061400000000000E052400000000000F060400000000000E052400000000000F0604000000000000053400000000000006140000000000000534000000000000061400000000000E05240,Dfd
4,4,61,0103000020E6100000010000000500000000000000008050C000000000008054400000000000C050C000000000008054400000000000C050C00000000000A0544000000000008050C00000000000A0544000000000008050C00000000000805440,EF
5,5,61,0103000020E6100000010000000D0000000000000000E053C000000000004054400000000000E054C000000000004054400000000000E054C0000000000060544000000000000055C0000000000060544000000000000055C000000000008054400000000000E053C000000000008054400000000000E053C00000000000A0544000000000004051C00000000000A0544000000000004051C0000000000080544000000000008052C0000000000080544000000000008052C000000000006054400000000000E053C000000000006054400000000000E053C00000000000405440,EF
1,1,62,0103000020E610000001000000050000000000000000C042C00000000000E0544000000000000043C00000000000E0544000000000000043C000000000000055400000000000C042C000000000000055400000000000C042C00000000000E05440,ET
2,2,62,0103000020E6100000010000000500000000000000000047C00000000000C0544000000000000047C00000000000E0544000000000000046C00000000000E0544000000000000046C00000000000C0544000000000000047C00000000000C05440,ET
3,3,62,0103000020E6100000010000000500000000000000004045C00000000000E054400000000000C043C00000000000E054400000000000C043C00000000000C0544000000000004045C00000000000C0544000000000004045C00000000000E05440,ET
6,6,62,0103000020E610000001000000050000000000000000E05640000000000040544000000000008056400000000000405440000000000080564000000000006054400000000000E0564000000000006054400000000000E056400000000000405440,ET
9,9,62,0103000020E610000001000000090000000000000000404940000000000000544000000000000047400000000000005440000000000000474000000000002054400000000000C0464000000000002054400000000000C0464000000000004054400000000000C0494000000000004054400000000000C0494000000000002054400000000000404940000000000020544000000000004049400000000000005440,ET
10,10,62,0103000020E610000001000000050000000000000000C04A4000000000000054400000000000404A4000000000000054400000000000404A4000000000002054400000000000C04A4000000000002054400000000000C04A400000000000005440,ET
12,12,62,0103000020E610000001000000070000000000000000A058C00000000000E0534000000000002059C00000000000E0534000000000002059C000000000002054400000000000C058C000000000002054400000000000C058C000000000000054400000000000A058C000000000000054400000000000A058C00000000000E05340,ET
18,18,62,0103000020E610000001000000050000000000000000405940000000000040534000000000004059400000000000605340000000000060594000000000006053400000000000605940000000000040534000000000004059400000000000405340,ET
44,44,44,0103000020E610000001000000180000000000000000A0614000000000008052400000000000806140000000000080524000000000008061400000000000A0524000000000008061400000000000C0524000000000007061400000000000C0524000000000007061400000000000A0524000000000004061400000000000A0524000000000004061400000000000C0524000000000003061400000000000C0524000000000002061400000000000C052400000000000206140000000000000534000000000003061400000000000005340000000000070614000000000000053400000000000A0614000000000000053400000000000C0614000000000000053400000000000106240000000000000534000000000001062400000000000E0524000000000002062400000000000E0524000000000002062400000000000C0524000000000000062400000000000C0524000000000009061400000000000C0524000000000009061400000000000A052400000000000A061400000000000A052400000000000A061400000000000805240,Dfd
37,37,47,0103000020E610000001000000050000000000000000A062400000000000A0524000000000008062400000000000A0524000000000008062400000000000C052400000000000A062400000000000C052400000000000A062400000000000A05240,Dsc
53,53,61,0103000020E610000001000000050000000000000000803BC000000000006052400000000000003BC000000000006052400000000000003BC000000000004052400000000000803BC000000000004052400000000000803BC00000000000605240,EF
61,61,61,0103000020E6100000010000000500000000000000008039C000000000000052400000000000003AC000000000000052400000000000003AC0000000000020524000000000008039C0000000000020524000000000008039C00000000000005240,EF
33,33,62,0103000020E610000001000000230000000000000000405AC000000000008053400000000000405AC000000000006053400000000000205AC000000000006053400000000000205AC000000000004053400000000000005AC000000000004053400000000000005AC0000000000020534000000000008059C0000000000020534000000000008059C000000000004053400000000000E058C000000000004053400000000000E058C000000000002053400000000000C058C000000000002053400000000000C058C0000000000040534000000000008058C0000000000040534000000000008058C0000000000020534000000000006058C0000000000020534000000000006058C00000000000C052400000000000C058C00000000000C052400000000000C058C00000000000A0524000000000002059C00000000000A0524000000000002059C00000000000C0524000000000004059C00000000000C0524000000000004059C00000000000E052400000000000E059C00000000000E052400000000000E059C00000000000C052400000000000405AC00000000000C052400000000000405AC00000000000E052400000000000005AC00000000000E052400000000000005AC000000000000053400000000000205AC000000000000053400000000000205AC000000000002053400000000000405AC000000000002053400000000000405AC000000000004053400000000000805AC000000000004053400000000000805AC000000000008053400000000000405AC00000000000805340,ET
34,34,62,0103000020E610000001000000050000000000000000405C400000000000A052400000000000205C400000000000A052400000000000205C400000000000C052400000000000405C400000000000C052400000000000405C400000000000A05240,ET
35,35,62,0103000020E6100000010000000500000000000000004061400000000000A0524000000000003061400000000000A0524000000000003061400000000000C0524000000000004061400000000000C0524000000000004061400000000000A05240,ET
36,36,62,0103000020E6100000010000000500000000000000008061400000000000A0524000000000007061400000000000A0524000000000007061400000000000C0524000000000008061400000000000C0524000000000008061400000000000A05240,ET
86,86,44,0103000020E610000001000000050000000000000000E05B400000000000A051400000000000A05B400000000000A051400000000000A05B400000000000C051400000000000E05B400000000000C051400000000000E05B400000000000A05140,Dfd
97,97,44,0103000020E610000001000000070000000000000000805B4000000000006051400000000000405B4000000000006051400000000000405B400000000000A051400000000000605B400000000000A051400000000000605B4000000000008051400000000000805B4000000000008051400000000000805B400000000000605140,Dfd
75,75,47,0103000020E61000000100000009000000000000000070624000000000002052400000000000A0624000000000002052400000000000A0624000000000000052400000000000906240000000000000524000000000009062400000000000E0514000000000008062400000000000E05140000000000080624000000000000052400000000000706240000000000000524000000000007062400000000000205240,Dsc
87,87,47,0103000020E6100000010000000500000000000000008062400000000000A0514000000000007062400000000000A0514000000000007062400000000000C0514000000000008062400000000000C0514000000000008062400000000000A05140,Dsc
93,93,47,0103000020E610000001000000150000000000000000A0624000000000000052400000000000C0624000000000000052400000000000C062400000000000E051400000000000D062400000000000E0514000000000000063400000000000E0514000000000000063400000000000C0514000000000007063400000000000C0514000000000008063400000000000C0514000000000008063400000000000A051400000000000A063400000000000A051400000000000A0634000000000008051400000000000406340000000000080514000000000004063400000000000A0514000000000001063400000000000A05140000000000010634000000000008051400000000000E0624000000000008051400000000000E062400000000000A051400000000000B062400000000000A051400000000000B062400000000000C051400000000000A062400000000000C051400000000000A062400000000000005240,Dsc
95,95,51,0103000020E6100000010000000500000000000000006061C0000000000060514000000000008061C0000000000060514000000000008061C0000000000080514000000000006061C0000000000080514000000000006061C00000000000605140,Dwc
67,67,61,0103000020E610000001000000050000000000000000803AC00000000000E051400000000000803AC000000000000052400000000000003AC000000000000052400000000000003AC00000000000E051400000000000803AC00000000000E05140,EF
